,budget,genres,popularity,production_companies,revenue,runtime,cast,crew,vote_count,vote weight,vote_average
3074,10000000.0,31.20448012932198,8.902102000000003,6.099999999999999,3193102.0,89.0,90.02417748917749,32.24217032967032,105.0,693.0,6.6
3075,6500000.0,6.460011154489665,28.223163,48.980000000000004,98410061.0,112.0,348.34015685077435,113.71236044657098,1149.0,8272.800000000001,7.2
3076,10000000.0,12.680710455188976,3.007816,70.94285714285715,5164404.0,140.0,84.79087301587302,51.11083512673361,25.0,160.0,6.4
3077,0.0,12.156837483566658,1.610132,6.606666666666666,0.0,92.0,50.255384615384614,34.0,15.0,102.0,6.8
3078,0.0,12.680710455188976,8.326131,6.575,0.0,120.0,49.45631868131868,6.3,90.0,657.0,7.3
3079,10000000.0,5.957733428367781,3.919057,11.632971938775512,0.0,97.0,75.34789915966387,4.5,51.0,224.4,4.4
3080,0.0,12.417744582857447,2.23411,12.789791666666666,0.0,135.0,73.30815789473684,20.095907928388748,24.0,151.2,6.3
3081,10000000.0,11.90782935216538,19.865989000000006,14.399999999999999,40055439.0,95.0,156.75000000000003,92.38429487179486,448.0,2150.4,4.8
3082,14000000.0,18.55497015943955,0.310513,12.606666666666666,439564.0,118.0,76.80565476190476,19.2,2.0,12.0,6.0
3083,10000000.0,18.693631107680147,19.263477,13.399999999999999,7587485.0,97.0,121.10517210144924,55.821653189577724,383.0,2221.4,5.8
3084,10000000.0,6.460011154489665,4.123533,33.38066666666666,1759252.0,98.0,79.99358974358974,86.71566252587992,54.0,378.0,7.0
3085,0.0,18.851332665280562,6.948401,49.338333333333324,0.0,98.0,121.77434353858506,122.36738816738819,168.0,1075.2,6.4
3086,10000000.0,24.335270212633752,3.988432,11.604926108374386,1631839.0,101.0,93.78718115747809,5.4,24.0,129.60000000000002,5.4
3087,0.0,24.69825287889524,5.099923,19.83,0.0,132.0,202.52232883344723,6.066666666666666,49.0,333.2,6.8
3088,20000000.0,18.887191106900822,19.494703,12.234615384615386,1969193.0,105.0,250.49150581163263,31.816339869281048,365.0,2336.0,6.4
3089,0.0,12.112737289721,3.759988,0.0,0.0,154.0,56.2,5.5,46.0,253.0,5.5
3090,10000000.0,18.384913380778936,4.1760660000000005,18.55,0.0,87.0,66.8201082643914,55.849724015622506,51.0,316.2,6.2
3091,10000000.0,18.887191106900822,16.436177999999998,25.63,3665069.0,102.0,82.37197802197802,90.45809523809524,425.0,2762.5,6.5
3092,10000000.0,12.417744582857447,14.979375,11.95,7022728.0,96.0,72.39933791698496,6.1,210.0,1281.0,6.1
3093,0.0,18.887191106900822,8.045488,35.980555555555554,0.0,104.0,111.250719582605,66.75738095238096,37.0,251.6,6.8
3094,0.0,5.957733428367781,8.312153,16.570754716981135,0.0,93.0,106.61534778841232,48.06155753968254,46.0,225.4,4.9
3095,10000000.0,12.680710455188976,10.733761,24.525641025641026,21786738.0,111.0,86.90725848225848,49.254,190.0,1140.0,6.0
3096,0.0,6.460011154489665,0.111313,31.653333333333336,0.0,119.0,121.89272988505748,18.033333333333335,7.0,44.1,6.3
3097,10000000.0,12.178432729067094,4.570043,16.79298245614035,598645.0,89.0,35.657487922705315,51.32089617679467,50.0,240.0,4.8
3098,5000000.0,24.278219560583093,6.2656589999999985,0.0,1296184.0,106.0,133.36324078220625,5.6,86.0,481.59999999999997,5.6
3099,0.0,11.999135925966243,17.54768,10.95,42776760.0,113.0,85.23333333333332,12.616666666666667,491.0,3240.6,6.6
3100,10000000.0,6.460011154489665,3.4121620000000004,17.2625,0.0,93.0,36.13333333333333,11.0,62.0,341.0,5.5
3101,0.0,18.384913380778936,0.6279640000000001,32.01470588235294,0.0,105.0,26.275,12.100000000000001,5.0,32.0,6.4
3102,0.0,6.460011154489665,5.75555,19.693333333333335,0.0,103.0,62.74404761904762,58.08066112608565,98.0,637.0,6.5
3103,0.0,6.460011154489665,1.031142,0.0,0.0,100.0,22.8,5.3,3.0,15.899999999999999,5.3
3104,7700000.0,12.575446140457863,7.554799000000001,67.42799422799422,1072602.0,123.0,89.17049606167255,85.95583333333335,131.0,772.9000000000001,5.9
3105,10000000.0,12.417744582857447,2.85283,23.920833333333334,0.0,111.0,57.21096611721612,6.3,29.0,182.7,6.3
3106,0.0,18.3108808924092,1.769593,12.607905982905981,0.0,86.0,129.63846702317292,44.25730158730159,12.0,76.80000000000001,6.4
3107,10000000.0,12.178432729067094,9.805551,12.55,295750.0,99.0,177.96305555555557,6.5,177.0,1150.5,6.5
3108,0.0,17.86556278053316,12.898984,38.10476190476191,0.0,96.0,70.80416666666666,51.34523809523809,169.0,1081.6000000000001,6.4
3109,10000000.0,12.575446140457863,2.803642,6.0,0.0,82.0,77.24844028520499,97.51428571428572,50.0,300.0,6.0
3110,0.0,6.460011154489665,6.085879,31.541666666666664,42145.0,110.0,87.9182129673732,43.162571428571425,139.0,889.6,6.4
3111,0.0,12.26947839481074,11.946898,6.325732899022803,126247.0,83.0,54.51666666666666,9.674999999999999,178.0,729.8,4.1
3112,0.0,12.771756120932624,0.397341,0.0,0.0,0.0,57.28083333333333,5.866666666666667,5.0,30.0,6.0
3113,10000000.0,19.886100576518018,0.072085,17.4,0.0,125.0,64.06666666666665,5.8,14.0,81.2,5.8
3114,10000000.0,18.211623307225555,2.849895,37.2,0.0,104.0,82.0992803030303,55.94166666666668,31.0,192.20000000000002,6.2
3115,10000000.0,5.957733428367781,0.666218,11.578735632183909,45779.0,86.0,68.63685483824504,11.51875,9.0,27.0,3.0
3116,0.0,18.638443883556757,1.388136,0.0,0.0,90.0,46.48398351648351,4.8,19.0,91.2,4.8
3117,3200000.0,12.178432729067094,2.631688,11.200000000000001,0.0,90.0,60.12111111111111,5.4,59.0,318.6,5.4
3118,0.0,12.417744582857447,10.955567,6.016666666666667,0.0,90.0,75.29904761904761,4.7,44.0,206.8,4.7
3119,0.0,12.493201732648126,0.122874,5.8,140987.0,94.0,18.125,6.05,4.0,23.2,5.8
3120,10000000.0,12.575446140457863,5.1456550000000005,6.13,17472.0,111.0,54.93952380952382,31.85,83.0,423.29999999999995,5.1
3121,10000000.0,5.957733428367781,1.728816,11.994285714285713,9069.0,85.0,82.22775335775336,6.5,5.0,35.0,7.0
3122,10000000.0,12.178432729067094,3.064563,0.0,0.0,93.0,42.123029100529095,7.8,29.0,113.1,3.9
3123,14100000.0,18.703066477233854,9.318033,12.34,0.0,107.0,75.67730414746545,36.18333333333333,188.0,1071.6000000000001,5.7
3124,0.0,18.367840506655046,7.245108,28.28333333333333,0.0,94.0,27.93333333333333,21.6,130.0,702.0,5.4
3125,0.0,12.417744582857447,9.085482,24.9,0.0,91.0,78.22211066711067,51.132222222222225,34.0,217.60000000000002,6.4
3126,0.0,24.44722981963215,6.814247,11.113095238095237,0.0,99.0,52.41444444444444,16.18607142857143,80.0,448.0,5.6
3127,10000000.0,12.867982168982417,2.873796,18.900000000000002,0.0,91.0,30.1,37.375,16.0,68.8,4.3
3128,0.0,12.156837483566658,4.481897,72.6197619047619,0.0,117.0,79.88507575757576,121.59642857142852,35.0,213.5,6.1
3129,0.0,18.502318678861904,1.413934,19.5,0.0,85.0,37.94833333333334,13.0,1.0,6.5,6.5
3130,10000000.0,13.15695771937516,2.574014,25.6,0.0,106.0,58.04233489128226,23.990000000000002,22.0,140.8,6.4
3131,10.0,18.638443883556757,1.617943,13.8,11.0,85.0,109.9666666666667,14.15,26.0,179.4,6.9
3132,0.0,12.178432729067094,1.259968,12.899999999999999,0.0,99.0,67.41190476190476,21.649999999999995,9.0,38.699999999999996,4.3
3133,10000000.0,24.02056664188638,5.099472,12.0,0.0,90.0,79.92959124209123,28.0,53.0,212.0,4.0
3134,0.0,18.91571045518898,2.131524,12.8,0.0,116.0,50.06285714285714,6.35,6.0,38.400000000000006,6.4
3135,0.0,5.957733428367781,0.304566,5.0,0.0,85.0,16.872222222222224,5.0,6.0,30.0,5.0
3136,10000000.0,24.57111790794823,11.847324,27.950000000000003,0.0,130.0,112.21071428571426,6.4,193.0,1370.3,7.1
