,Unnamed: 0,budget,popularity,encoded_rate,new spoken_languages,new cast,new production_companies,new production_countries,new crew,new genres,new keywords,revenue,runtime,vote_count
1654,1654,25000000,12.10235,1,1,2,2,2,10257.717476967477,4,2,30114487,102.0,114
1655,1655,23000000,3.362045,1,6,0,1,2,5877.4973996724,2,3,12,111.0,152
1656,1656,30000000,10.694417,1,1,1,0,1,131.0,3,4,13521829,86.0,131
1657,1657,30000000,6.353971,2,2,1,3,2,8734.62618623207,1,1,18618284,108.0,161
1658,1658,30000000,37.181019,1,3,4,3,3,799.5,3,2,64352607,123.0,869
1659,1659,30000000,4.952735,2,1,2,0,2,3181.9358974358975,2,3,8454301,134.0,129
1660,1660,30000000,22.975918,1,1,2,4,1,2421.464285714286,3,0,62616646,91.0,543
1661,1661,30000000,8.359599000000001,1,1,0,2,2,6494.5518557422965,3,1,18195610,108.0,153
1662,1662,18000000,16.102271,2,1,2,1,1,3537.017857142857,1,2,26828365,122.0,383
1663,1663,30000000,49.336397,2,3,2,1,2,4718.066666666667,2,2,0,229.0,1069
1664,1664,0,29.647844,1,4,2,1,1,4541.531578947368,4,2,18074539,118.0,638
1665,1665,0,12.467267,2,1,0,0,4,2068.0333333333333,2,2,0,138.0,144
1666,1666,0,2.774811,1,1,1,2,4,3068.211904761905,3,1,0,108.0,31
1667,1667,0,3.71305,1,1,2,0,1,404.0,4,1,3102550,80.0,29
1668,1668,30000000,8.386432000000001,1,1,1,1,2,7016.1902597402595,3,1,35078241,92.0,141
1669,1669,0,3.866026,1,3,0,0,3,1430.3,5,0,0,98.0,29
1670,1670,21000000,12.790408,1,1,0,2,3,2593.9,3,8,480314,87.0,205
1671,1671,30000000,35.53352,2,1,1,3,3,9539.00578840873,3,1,14711793,160.0,776
1672,1672,30000000,4.065212,1,3,0,0,2,415.8,5,2,108348,125.0,41
1673,1673,0,20.362025,1,1,0,1,2,175.5,1,0,0,91.0,306
1674,1674,30000000,48.0343,1,1,2,1,1,13790.144444444444,3,1,0,92.0,656
1675,1675,30000000,13.268935999999998,1,2,2,1,1,17444.887950937955,3,1,2527904,129.0,286
1676,1676,0,8.010046,1,1,0,1,1,1319.681818181818,3,0,0,93.0,90
1677,1677,30000000,12.257654,2,2,0,0,2,2217.9549019607844,2,1,0,140.0,38
1678,1678,27000000,6.036683999999998,0,1,0,0,1,111.5,1,0,0,110.0,16
1679,1679,30000000,10.958697,1,2,1,1,5,3748.833333333333,2,0,0,103.0,195
1680,1680,30000000,2.625594,1,1,0,0,1,7.0,3,1,0,85.0,7
1681,1681,30000000,2.981047,2,1,1,0,3,69.0,2,4,0,110.0,69
1682,1682,19000000,66.242737,1,1,8,3,2,36952.7858974359,4,1,140752617,83.0,2238
1683,1683,29000000,71.496894,2,1,1,2,1,16537.223665223664,2,4,287506194,115.0,1940
1684,1684,28000000,35.580032,2,2,1,1,2,18123.117421317424,3,4,186438883,136.0,718
1685,1685,30000000,8.085872,1,3,2,2,1,3047.214357429719,1,0,37036004,127.0,159
1686,1686,29000000,10.364582,1,1,2,1,2,3706.2346153846156,5,1,0,86.0,135
1687,1687,0,16.87784,2,2,4,3,1,23094.372429748113,2,1,0,122.0,328
1688,1688,30000000,18.165957,2,1,5,1,1,7730.689418293149,5,1,33013805,113.0,275
1689,1689,29000000,8.93941,1,2,1,1,2,4593.777777777777,2,1,16930185,100.0,85
1690,1690,29000000,20.55509,1,1,1,1,1,4275.12210338681,1,1,78636257,91.0,431
1691,1691,0,3.735723,2,1,1,1,1,532.2857142857143,1,2,0,157.0,51
